review,question,id,answers
"Given that this is one of my all-time favorite movies, it's one of the few dvds in my collection worthy of an upgrade to Blu-Ray.I read the book, which is excellent, when it was first published and thought there was no way a movie could do justice to what happened there.  I was wrong.Technically, both the video and audio quality are excellent.  In terms of value, the extra features, most especially the commentary by some of the military personnel who were present, are alone worth the price of admission.  As far as the movie itself, this is a great one.  The story is compelling, especially since it's based on an actual event.  The directing is top-notch.  The acting is excellent and wholly believable.  Black Hawk Down is the sort of movie that stays with you long after it's over.Black Hawk Down is a worthy tribute to our men and women in uniform in general and to the soldiers who took part in this battle in particular. ANSWERNOTFOUND",What is the most interesting aspect among the characters?,549,"{'text': ['the extra features , most especially the commentary by some of the military personnel who were present , are alone worth the price of admission The acting is excellent and wholly believable .'], 'answer_start': [366]}"
"What the heck did I just watch?  This movie is senseless.In a nutshell, the hero does various dirty dance routines (presumably - because we never actually see the dances) in order to distract people so that her friends can steal a series of items in order to escape some sort of mental institution that doubles as a brothel.  Got all that?Why don't we see the dances you ask?  Because whenever a dance starts our hero goes into a fantasy trance and we are transported into a dream sequence where her and her fellow dancers take on zombie Nazis, dragons, robots, etc.  For example, one of the items that they need to steal is a lighter.  Therefore, the fantasy sequence involves the squad of women cutting the throat of a baby dragon, ripping out two fire crystals, and then a chase sequence with the mother dragon.I'll admit that the fantasy parts are pretty well done.  However, after the first two I found myself asking - ""Is this all there is?  Do I have to go through this two or three more times?""  In that sense, I suppose Sucker Punch is a lot like a vasectomy.  The first one is a bit of a surprise, but the second one usually hurts a little more.  Party because you know what to expect... partly because... well... it's a vasectomy.  Sucker Punch was just like that.  The first cut scene was a bit of a surprise, but then you get through it and have to endure the second one.  Unfortunately, there are more than two in this case and no warm towel to soften you up!  This movie made me want to spend two days sitting on an ice pack.In the end, I just wondered what the point was.  This movie was just barely good enough so that I didn't turn it off.  That's the only reason it gets two stars instead of one.  One star is reserved for absolute trash like GI Joe.You know how you can really tell how bad this movie is?  By how much many of the 5 star reviewers spend their time defending it.  Uhhhh... If it was five stars, it would speak for itself, right?  Apparently not, because many 5 star reviews spend time advising everyone how they ""don't get it"" etc, etc.  Yes, yes, yes... the critics were wrong, the poor reviewers are wrong... blah, blah, blah.  You, my 5 star friend, are the only genius to see the magnificence of this film and the rest of us are just inbred and toothless dolts.Now give me a Bud and let me go sit in my recliner. ANSWERNOTFOUND",What is your favorite music genre?,415,"{'text': ['various dirty dance routines'], 'answer_start': [86]}"
Movie was sad and uplifting at the same time. Being based on a true story really highlighted the failures of our country to address the AIDS epidemic early on. ANSWERNOTFOUND,How is movie?,1411,"{'text': ['was sad and uplifting at the same time .'], 'answer_start': [6]}"
"In 2009, out of the scrapped Halo movie, first-time director Neill Blomkamp shocked the world with District 9, a very unique film about extraterrestrial refugees stuck in contemporary South Africa. It currently holds a 90% fresh rating on Rotten Tomatoes, citing its unique story (a rarity in films these days), excellent acting, writing, and (despite its modest budget) special effects. Naturally, expectations were high for his follow up, Elysium. After viewing Blomkamp's second film, one wonders whether he was pressed for time, because it plays out like a first draft in need of heavy revision.In the year 2154, the ultra wealthy live on Elysium, a utopian space station where crime, sickness, and war are nonexistent. Everyone else is stuck on an overpopulated, impoverished earth. One man, however, has the means to change all of that and bring equality to the two worlds.There isn't a singular flaw that can be attributed to Elysium's catastrophic failure, but ""absolutely no character development"" is towards the top of the list. Our protagonist, Max (played by Matt Damon) is an ex-con who's trying to stay on the ""straight and narrow"". It's difficult to care about him because he is essentially a cardboard cutout, like every character in this movie. The squalor the earthlings live in is portrayed with excellent, stark imagery, but viewers need more than imagery to stay invested in the ""good"" characters and their plight. ""Why should we root for Max? What makes him so special?"" It's unfortunate that Blomkamp doesn't answer these questions.Some of the characters are an extreme hindrance to the success of the film. Jodie Foster plays Delacourt, Elysium's cruel, scheming Secretary of Defense who has a penchant for poor acting including, but not limited to, cringe-inducing lines unbecoming of a two-time academy award winning actress. Kruger (played by Sharlto Copley of District 9 fame) is meant to be a fun-to-watch villain, but Delacourt's personal mercenary has an incredibly obnoxious, pseudo-French/cockney accent that would be hilarious in a Monty Python movie, but it's distracting and less than intimidating in this one. The actors are not entirely to blame; it's difficult for a good actor/actress to perform well when given poor lines.The environments, spaceships, robots, and weapons are a visual treat, as expected. The action scenes have inventive elements, but they are too few and far between, often relying heavily on slow-motion. Ultimately, the film lacks character development and substance, both of which are essential for the kind of story Blomkamp is trying to tell.Considering how great District 9 was, and the enormous potential Elysium had, it's obvious Blomkamp has some great ideas; it's just a matter of allowing them to develop. 4/10 ANSWERNOTFOUND",How is the movie?,175,"{'text': ['citing its unique ( a rarity in films these days ) , excellent acting'], 'answer_start': [256]}"
"Acclaimed filmmaker James Cameron once again made cinematic history with the breathtaking science fiction blockbuster Avatar. In the distant future, a handicapped ex-Marine named Jake Scully (Sam Worthington) accepts a job to aid a human colony in their mining venture in the jungle planet of Pandora where its inhabitants known as the Na'vi are strongly against the destruction to their home. Using an alien hybrid called an avatar, he makes contact with the Na'vi and becomes torn between following his orders and protecting the world he feels is his home. Avatar is an extraordinary and visually groundbreaking film spectacle that ranks as one of the most imaginative Sci-Fi movies in cinema history. Thought the story may be a somewhat clich&eacute;d with obvious stereotypes, the film is nevertheless entertaining and embracing. Cameron and his technical crew have spent many years developing the technology to create this Sci-Fi world and its inhabitants. Avatar represents an impressive leap in special effects and 3D technology. The cast also stars Zoe Saldana, Stephen Lang, Michelle Rodriguez, Giovanni Ribisi and Sigourney Weaver.Avatar Extended Collection Edition is truly a must-have for Sci-Fi fans and home video enthusiasts. The award-winning blockbuster is presented in 1.78:1 widescreen format. The 3-disc Blu-ray includes the original theatrical version, the special edition re-release and the 3-hour extended cut. The picture quality is certainly reference quality with such eye-popping detail and vivid colors. The 5.1 DTS-HD Master Audio delivers a first rate home theater experience. The Extended Collection Edition also includes over 45 minutes of deleted scenes, the in-depth documentary Capturing Avatar, 17 behind-the scenes featurettes that further explores the film's production, screen testes, high definition picture galleries and theatrical trailers. Overall, Avatar Extended Collection Edition scores an ""A"". ANSWERNOTFOUND",What is the name of the best action film ?,1357,"{'text': ['Using an alien hybrid'], 'answer_start': [394]}"
"First I'll say that I am a fan of all of Jackson's Middle Earth movies and have seen them all multiple times. I was thrilled to hear that the Hobbit was finally being made, while I think the original 2 movie plan would have been better than a trilogy. The added scenes to the film are great, you get to see some more of the shire and the most important added scene, in my opinion, is the extension of the Dale scene. You get to see the fight between Smaug and the people of Dale, which is shown more in the latest Hobbit film. The added scenes helps the continuity between this film and the Desolation of Smaug, by showing the black arrows and the white stones that are mentioned by the Elf King. The Purist will call this Blasphemy, but the Hobbit films create a better continuity to the Lord of the Rings films than the Hobbit does to the Lord of the Rings.The extended edition is worth buying and the extras are great to watch. If you own the extended Lord of the Rings you should own the extended Hobbit films. ANSWERNOTFOUND",How is it the movie?,113,"{'text': ['the Elf King'], 'answer_start': [683]}"
"This film is based on a real life event so that it is difficult to review. One can find that the events portrayed and the way that they are portrayed can become more important than the actual impact of the film as an entertainment.The reality of the operation portrayed by the film was that the United States sent some peace keeping troops to Somalia, a country which had broken down to endemic civil war and had virtually ceased to function. The United States forces formed the view that this problem would be solved if some of the more major war lords were taken out of the equation. This film is about an attempt to kidnap the most important war lord in Somalia General Adid. The plan of the operation was to drop some highly trained troops by helicopter around a building. They were to arrest the war lord and then a convoy of vehicles was to remove him to the United States base. The operation went horribly wrong with two helicopters being shot down and the road convey getting lost. As a result a number of American soliders were killed and their bodies mutilated and dragged through the streets by the Somalis. Other troops held out and were rescued by a force of Malaysians the next morning. The operation like any real life situation contained confused elements. On one hand there was the bravery of the soldiers on the ground, both the United States soldiers who went through hell and also that of the Somalis. Whilst the individual soldiers and pilots acted generally in a way that was beyond what could reasonably be expected of them the planning of the operation and the concept behind it was deeply flawed.The film caters mainly to an American audience and for that reason it works to show the bravery of the American's involved. There can be no argument with this as they surely were. However the film tends to oversimplify the conflict by demonising the Somalis and by not looking at the sheer stupidity of what those soldiers had to go through. The reality is that the various deaths were for nothing as the United States forces were quickly pulled out. There are some minor reconstructions of history to downplay the role of the Malaysians and to suggest that the Americans had a greater role in the rescue than they in fact had.If we leave aside these minor historical quibbles the film is surprisingly effective. It conveys a complex series of battles in a way that is clear and lets the viewer understand what is happening. The portrayal of the actual fighting is also reasonably accurate. (Apart from what is said above some scences featuring Eric Banna are also made up)The film is also quite long, yet it passes quickly and one does not really have a sense of the time one is viewing it. One of Ridley Scott's better outings in a while. ANSWERNOTFOUND",How much real was the film?,1907,"{'text': ['is difficult to review'], 'answer_start': [51]}"
"""Pirates Of The Caribbean: On Stranger Tides"" is great! This is how the story goes: When Captain Jack Sparrow crosses paths with the enigmatic Angelica, he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the ""Queen Anne's Revenge,"" the ship of the legendary pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know whom to fear more: Blackbeard or Angelica, with whom he shares a mysterious past.The cast led by Johnny Depp (returning in his Oscar-nominated performance as Captain Jack Sparrow), Penelope Cruz (as Angelica), Ian McShane (as Blackbeard) & Geoffrey Rush (also back as Barbossa) is great. The directing by Rob Marshall is great. The screen story (based on suggestion of the novel ""On Stranger Tides"" by Tim Powers) & screenplay by Ted Elliott & Terry Rossio (both of them also executive produced) is great.The music by Hans Zimmer is great. The cinematography by Dariusz Wolski is great. The film editing by David Brenner & Wyatt Smith is great. The casting by Lucy Bevan is great. The production design by John Myhre is great. The art direction by Drew Boughton, John Chichester, Robert Cowper, Zack Grobler & Tomas Voth is great. The set decoration by Gordon Sim is great. The costume design by Penny Rose is great. The special and visual effects are great.This is a great summer movie that keeps you on the edge of your seat, your heart racing and your mind guessing, at the same time. This is just as great as the first three ""Pirates Of The Caribbean"" movies. This is one of the best movies of the summer season, so far. ANSWERNOTFOUND",How is the costume design?,1634,"{'text': ['The costume design'], 'answer_start': [1316]}"
"In its original theatrical release, George Lucas' iconic ""Star Wars"" (1977) made a big impact that continues to reverberate. That movie was followed by the cliffhanger sequel ""The Empire Strikes Back"" (1980), and the third film in the series was ""Return of the Jedi"" (1983). After tinkering with the three movies a little, Lucas released new theatrical versions in 1997. Now, tweaked versions of the 1997 films have been released as a four-disc DVD set under the collective title ""Star Wars Trilogy,"" marking the first time any version of these three films has been available on DVD.The 1977 movie commonly known originally as simply ""Star Wars"" has been retitled ""Star Wars IV: A New Hope,"" and ""Star Wars V"" and ""Star Wars VI"" have been incorporated into the titles of ""The Empire Strikes Back"" and ""Return of the Jedi,"" respectively. The retitling came about in connection with a trio of prequel films that began being released theatrically in 1999, and the numbering scheme indicates where each movie fits into the epic story's chronology.I've always found all three films in the Star Wars Trilogy to be great, and they form a unified whole. I wouldn't characterize them as science fiction I would describe them as pulpy space fantasy action adventure movies. They are set in some distant galaxy during a civil war, and we side with freedom-fighter rebels who are battling the evil Galactic Empire. I would say the ""Trilogy"" is an elaborate coming-of-age tale where we follow the maturation of an idealistic farm boy named Luke Skywalker.On his adventures, Luke teams up with daredevil smuggler Han Solo and plucky young Princess Leia, But Lucas has packed the ""Trilogy"" with a host of quirky characters, including a pair of delightful androids called C-3PO and R2-D2. And I think the movies' chief villain, Darth Vader is one of the most memorable in all of cinema.I've always found it intriguing that some inhabitants of the galaxy embrace the belief that there exists a mystical energy called the Force. There are certain beings called Jedi who seemingly derive special powers from the Force and use them to bring about good. To me, Alec Guinness gives an unforgettable performance as Obi-Wan Kenobi, a wise old Jedi who mentors Luke. Young Skywalker also receives training from another Jedi, the diminutive Yoda. But the Force is not automatically a source of good: it has a corrupting Dark Side that can result in evil.Each movie in the Trilogy is contained on its own single sided disc, and as far as I am concerned, the three feature films all look and sound terrific: the colors are vivid, the picture is sharp, and the sound is clean. The DVDs provide feature-length audio commentary tracks for all three movies. George Lucas, actress Carrie Fisher, sound designer Ben Burtt, and visual effects expert Dennis Muren are heard on all three tracks, and these four commentators are joined by a fifth, director Irvin Kershner, on ""The Empire Strikes Back."" I found all three commentary tracks worthwhile, and I particularly enjoyed listening to Lucas and Kershner. Burtt gives more details about the sound than I really want to know. ANSWERNOTFOUND",How about audio?,1547,"{'text': ['the sound is clean'], 'answer_start': [2628]}"
"It has a few moments. As the New Yorker said (roughly), it's sounds good when described, but it does not work well, a lot of funny ideas wasted. Kevin Spacey steals every scene he is in, but he's just being the same mean guy he often is. I've now come to realize why Jason Bateman did not make it after Teen Wolf 2: he only has one character in him and he does it in every movie. Poor guy has not made a great movie yet. He works as the central character in Arrested Development because of the enormous talent surrounding him and the great writing. The guy from IASIP is just annoying. Anniston's character does not exist in real life, she is purely wish fulfillment. The three central men are portrayed as smart guys and then we are supposed to believe that all three of them will mess up their caper at every chance. They do nothing right, very predictably. Colin Farrell is fun, but only because it's him, like Tom Cruise in Tropic Thunder. Steve Buscemi would have been better in both roles, but we would have just believed him and not thought it funny to have a Hollywood heart-throb play a douchebag. Is it funny to see a ""stud"" play a prick with a comb-over? Maybe for the first five seconds. The best moments are played by Jamie Foxx, as well as the way too short appearance by the guy from the Fantastic Four. Overall, the plot is obvious, the comedy is clunky, we don't get to know any of the characters at all (well, maybe Kevin Spacey's the most). ANSWERNOTFOUND",Is th plot of this film interesting?,1761,"{'text': ['the plot is obvious'], 'answer_start': [1328]}"
